"ကြိုဆိုရေး",96.263776,16.924359,"1,46"
"ကြို့ကုန်း",96.112429,16.87864,"15,21,39,41"
"ကြို့ကုန်းလမ်းဆုံ",96.10449,16.871679,"15,40,61"
"ကြို့ကုန်းလမ်းသစ်",96.199844,17.247302,"45"
"ကြိုးတံတား",96.172362,16.908452,"15"
"ကြံ့ခိုင်ရေး",96.117232,17.060764,"55"
"ကြွေ(၁)",96.120725,16.861216,"15,16,19,61"
"ကွက်သစ်",96.084879,17.003523,"39,44"
"ကွင်းကျောင်း",96.122913,16.791815,"14,19,23,30,40,41"
"ကွန်ပျူတာ",96.088184,16.998896,"39,44"
"ကွမ်းယာဆိုင်",96.232442,16.860241,"2,6,7,31,34"
"ခင်မမကြား",96.198496,16.784225,"8,34"
"ခန်းမ",96.214632,16.790942,"4,10,31"
"ခပ်ချီးယား",96.186427,16.826232,"3,7,10,18,24,32"
"ခရေပင်လမ်းခွဲ",96.131352,16.928026,"11,17,35,37,41,42,44"
"ခဝဲခြံ",96.11949,16.869482,"15,21,39,41"
"ခိုင်ရွှေဝါ",96.125046,16.825677,"11,22"
"ခေမာ",96.167554,16.886011,"2,10,27,28"
"ခေါင်သုံးလုံး",96.084074,16.957061,"42"
"ချင်းမလေးကရင်ဆိပ်(ကရင်ဆိပ်)",96.370497,16.762961,"34"
"ချန်မာဖီ",96.129582,16.787414,"22,59"
"ချမ်းမြေ့သာယာ",96.319921,16.649843,"33"
"ချမ်းအေး",95.991361,17.170848,"55"
"ချမ်းအေးသွားဆေး",96.20798,16.832865,"25,42,59"
"ချောင်း(၁)",96.31181,16.74566,"34"
"ချောင်းဝ",96.11603,16.833543,"19,20,23,38,40"
"ချော်တွင်းကုန်း",96.157675,16.850728,"6,10,28,30,36"
"ခြောက်လမ်းသွား",96.296875,16.738345,"34"
"ခြံပေါက်",96.12717,17.008304,"35,37,41,44"
"ခြံဝိုင်း",96.343267,16.762755,"34"
"ခွန်ထိပ်",96.516387,16.760125,"34"
"ဂန္ဓာရုံ",96.164271,16.886627,"2,10,28"
"ဂန္ဓီ",96.174186,16.773757,"4,31,34"
"ဂါတ်တဲကွေ့",96.325285,16.638371,"33"
"ဂိတ်(၁)",96.311939,16.683144,"33"
"ဂိတ်ဝ",96.217443,16.79125,"4,10,31,33"
"ဂိတ်ဟောင်း",96.193324,16.83915,"1,2,3,6,10,14,17,22,26,27,28,33,36,37,39,41,44,55,60"
"ဂိတ်ဟောင်းကွေ.",96.173134,16.91421,"15"
"ဂျပန်ဆိုက်",95.999343,17.140749,"55"
"ဂျပန်လမ်း",96.097151,16.903832,"21,39,40"
"ဂျမခါနာ",96.133341,16.782858,"22,59"
"ဂျမား",96.161275,16.801326,"8"
"ဂျီတီစီဆိုက်သစ်",96.006424,17.124304,"55"
"ဂျီတီစီရေအိုး",96.005266,17.127175,"55"
"ဂျီတီစီအလယ်ပေါက်",96.00445,17.129102,"55"
"ဂျီအီးစီ",96.227206,16.844346,"7,60"
"ငပိတဲ",96.226451,17.115199,"45"
"ငပိအုတ်ပေါက်",96.487291,16.753222,"34"
"ငမောက်ဈေး",96.076852,16.97976,"40,42"
"ငါးစု",96.295502,16.707808,"33"
"ငုံးခြံ",96.295502,16.737647,"34"
"ငြိမ်းချမ်းရေး",96.071767,16.986696,"40,42"
"ငှက်ပျောခြံ",95.962265,17.220003,"55"
