bus_id,bus_type,routes
23,0,"(တူးချောင်း), အနောက်ပိုင်းနည်းပညာတက္ကသိုလ်, ပုသိမ်လမ်း, သမကုန်းအဝိုင်း, ဘီအိုစီအဝိုင်း, ဘုရင့်နောင်တံတား, ဘုရင့်နောင်လမ်း, သီရိမင်္ဂလာဈေးသစ်, ဆင်မလိုက်, စံပြငါးဈေး, ကမ်းနားလမ်း, သခင်မြပန်းခြံ"
24,1,"ကျန်စစ်သားလမ်း, တပင်ရွှေထီးလမ်း, ပြည်ထောင်စုလမ်း, တောင်မြောက်လမ်းဆုံ, လေးထောင့်ကန်လမ်း, စံပြဈေး, ဇဝန, အသင်းတိုက်, သုဝဏ္ဏတံတား, သံသုမာလမ်း, ကြက်ဘဲဈေး, အထက်ပုဇွန်တောင်လမ်း, ပုဇွန်တောင်ဈေး, မဟာဗန္ဓုလတံတားအောက်, ရာဇဓိရာဇ်လမ်း, ကမ်းနားလမ်း, ဗိုလ်တစ်ထောင်ဘုရားလမ်း"
25,1,"ဒဂုံတက္ကသိုလ်, မင်းရဲကျော်စွာလမ်း, (၇/၈)လမ်းဆုံ, ပြည်ထောင်စုလမ်း, တောင်မြောက်လမ်းဆုံ, ငမိုးရိပ်တံတား, သံသုမာလမ်း, ကြက်ဘဲဈေး, သမိန်ဗရမ်းလမ်း, ရွှေဗဟိုရ်, တာမွေ(ဗလီ), ကျိုက္ကဆံလမ်း, ယုဇနပလာဇာ, မင်္ဂလာဈေး"
26,1,"ဒဂုံတက္ကသိုလ်, မင်းရဲကျော်စွာလမ်း, ပြည်ထောင်စုလမ်း, ပင်လုံလမ်း, ဘေလီ, သံသုမာလမ်း, ရတနာလမ်း(သင်္ဃန်းကျွန်း), အောင်ဇေယျလမ်း, မိုးကောင်းလမ်း, အရှေ့မြင်းပြိုင်ကွင်းလမ်း, တာမွေအဝိုင်း, သမိန်ဗရမ်းလမ်း, ကြက်ဘဲဈေး, အထက်ပုဇွန်တောင်လမ်း, ပုဇွန်တောင်ဈေး, မဟာဗန္ဓုလတံတားအောက်, ရာဇဓိရာဇ်လမ်း, ကမ်းနားလမ်း, ဗိုလ်တစ်ထောင်ဘုရားလမ်း"
27,1,"စိတ်ကျန်းမာရေး, မင်းရဲကျော်စွာလမ်း, ၁၃၃ရပ်ကွက်, ဒဂုံတက္ကသိုလ်, မင်းရဲကျော်စွာလမ်း, ပြည်ထောင်စုလမ်း, ဗိုလ်မှုးဗထူးလမ်း, ဦးဝိစာရလမ်း, ဘေလီ, သံသုမာလမ်း, ရတနာလမ်း(သင်္ဃန်းကျွန်း), မိုးကောင်းလမ်း, အရှေ့မြင်းပြိုင်ကွင်းလမ်း, တာမွေအဝိုင်း, တာမွေလမ်း, ဗညားဒလလမ်း, ယုဇနပလာဇာ, မင်္ဂလာဈေး, ကျိုက္ကဆံလမ်း"
28,1,"ဒဂုံတက္ကသိုလ်, ဗိုလ်မှုးဗထူးလမ်း, မြောက်ဥက္ကလာပအဝိုင်း, နဝဒေး, ကမ္ဘာအေးဘုရားလမ်း, ဗဟန်း(၃)လမ်း, ရန်ကုန်ဘူတာကြီး, ဆူးလေမြို့တော်ခန်းမ"
29,1,"ဒဂုံတက္ကသိုလ်, ကျန်စစ်သားလမ်း, မင်းရဲကျော်စွာလမ်း, ပြည်ထောင်စုလမ်း, ပင်လုံလမ်း, ဘေလီ, သံသုမာလမ်း, သစ္စာလမ်း, ကံဘဲ့လမ်း, ရန်ကင်းလမ်း, ဂွတ္တလစ်ဈေး, တာမွေအဝိုင်း, ရွှေဂုံတိုင်, ကမ္ဘာအေးဘုရားလမ်း, ရန်ကုန်ဘူတာကြီး, ဆူးလေ"
30,1,"ဒဂုံတက္ကသိုလ်, ကျန်စစ်သားလမ်း, မင်းရဲကျော်စွာလမ်း, ပြည်ထောင်စုလမ်း, ဘေလီ, ပါရမီ, ညောင်ပင်, ကမ္ဘာအေးဘုရားလမ်း, ၈မိုင်လမ်းဆုံ, လှည်းတန်းလမ်း, ကြည့်မြင့်တိုင်, သခင်မြပန်းခြံ"
31,2,"သန်လျင်(အရှေ့ပိုင်းတက္ကသိုလ်), သန်လျင်ကျောက်တန်းလမ်း, သန်လျင်အမှတ်(၁)တံတား, ရှုခင်းသာမြို့ပါတ်လမ်း, ယမုံနာလမ်း, မဟာဗန္ဓုလတံတား, ဗိုလ်တစ်ထောင်ဈေးလမ်း, အနော်ရထာလမ်း, ဗိုလ်တစ်ထောင်ဘုရားလမ်း, ကုန်သည်လမ်း, ဗိုလ်တစ်ထောင်ဈေးလမ်း"
32,2,"ရေကြောင်းတက္ကသိုလ်, ဘုရားလမ်းဆုံ, သန်လျင်(မြို့မဈေး), ဗိုလ်ချုပ်နေဝင်းလမ်း, သန်လျင်အမှတ်(၁)တံတား, သာကေတအဝိုင်း, ဧရာဝဏ်လမ်း, ကျောက်တိုင်, သုဝဏ္ဏတံတား, ဝေဇယန္တာလမ်း, လေးထောင့်ကန်လမ်း, ဇဝန, သုမင်္ဂလာလမ်း, ပါရမီလမ်း, ဘေလီ, သံသုမာလမ်း, ဘုန်းကြီးလမ်း, မြောက်ဥက္ကလာပအဝိုင်း, အမှတ်(၃)လမ်းဆုံ, ခရေရိပ်မွန်အိမ်ရာ"
33,2,"ကျောက်တန်း, ကျောက်တန်း(သန်လျင်လမ်း), သန်လျင်အမှတ်(၁)တံတား, သာကေတအဝိုင်း, ကျောက်တိုင်, မင်းနန္ဒာလမ်း, ဒေါပုံ, မင်္ဂလာဈေး, ကျိုက္ကဆံလမ်း, ဗညားဒလလမ်း, ယုဇနပလာဇာ"
34,2,"ခရမ်း, သုံးခွ, အရှေ့ပိုင်းတက္ကသိုလ်, သန်လျင်ကျောက်တန်း လမ်း, သန်လျင်အမှတ်(၁)တံတား, သာကေတ(အဝိုင်း), မြင်တော်သာလမ်း, မဟာဗန္ဓုလတံတား, ဗိုလ်တစ်ထောင်ဘုရားလမ်း, ကမ်းနားလမ်း, သိမ်ဖြူလမ်း, မဟာဗန္ဓုလလမ်း"
35,0,"ထောက်ကြန့်, နွယ်ခွေ, အမှတ်(၃)လမ်းပုလဲမြို့သစ်, အမှတ်(၃)လမ်းဆုံ, ခရေပင်လမ်းခွဲ, ပြည်လမ်း, ၈မိုင်လမ်းဆုံ, လှည်းတန်း, မြေနီကုန်း, ဘုန်းကြီးလမ်း, ကမ်းနားလမ်း, မော်တင်, မဟာဗန္ဓုလလမ်း"
36,0,"ထောက်ကြန့်, နွယ်ခွေ, အမှတ်(၃)လမ်း, ပုလဲမြို့သစ်, အမှတ်(၃)လမ်းဆုံ, သုဓမ္မာလမ်း, မြောက်ဥက္ကလာပအဝိုင်း, နဝဒေး, ကမ္ဘာအေးဘုရားလမ်း, ဗဟန်း(၃)လမ်း, ရန်ကုန်ဘူတာကြီး, ဆူးလေ"
37,0,"ထောက်ကြန့်, ပြည်လမ်း, ခရေပင်လမ်းခွဲ, စော်ဘွားကြီးကုန်း, ၁၀မိုင်ကုန်း, ၈မိုင်လမ်းဆုံ, လှည်းတန်း, မြေနီကုန်း, စံပြ, ဘုန်းကြီးလမ်း, ကမ်းနားလမ်း, မော်တင်, မဟာဗန္ဓုလလမ်း"
38,1,"ဘေလီ, သံသုမာလမ်း, တောင်ဥက္ကလာဘုရား, သစ္စာလမ်း, မိုးကောင်းလမ်း, ရန်ကင်းလမ်း, ရန်ရှင်းလမ်း, စက်မှု(၁)လမ်း, ကမ္ဘာအေးဘုရားလမ်း, ကုက္ကိုင်း, တက္ကသိုလ်ရိပ်သာလမ်း, လှည်းတန်းလမ်း, ဆင်မလိုက်, ဘုရင့်နောင်လမ်း, သီရိမင်္ဂလာဈေးသစ်"
39,0,"ရွှေပြည်သာ(လိန်ကုန်း), အမှတ်(၄)လမ်း, ကွန်ပြူတာတက္ကသိုလ်, ဒညင်းကုန်း, ပြည်တော်သာ(အောက်လမ်း), ဘီအိုစီ, YTU, သမိုင်းလမ်းဆုံ, လှည်းတန်း, မြေနီကုန်း, စံပြ, ဘုန်းကြီးလမ်း, ကမ်းနားလမ်း, မော်တင်, မဟာဗန္ဓုလလမ်း"
40,0,"ရွှေပြည်သာ(လိန်ကုန်း), ထန်းခြောက်ပင်, ပုလဲလမ်း, ၁၄လမ်းဆုံ, ဒညင်းကုန်းလမ်းဆုံ, ပြည်တော်သာ, ဘုရင့်နောင်လမ်းမကြီး, ပေါက်တောဝ, ဘုရင့်နောင်, သီရိမင်္ဂလာဈေးသစ်, ဆင်မလိုက်, စံပြငါးဈေး, ကမ်းနားလမ်း, သခင်မြပန်းခြံ"
41,0,"ထောက်ကြန့်, ပြည်လမ်း, စော်ဘွားကြီးကုန်း, လမ်းသစ်လမ်း, အင်းစိန်ပန်းခြံ, လှည်တန်းလမ်း, ၃ထောင်ကွေ့, အောက်ကြည့်မြင့်တိုင်လမ်း, အထက်ကြည့်မြင့်တိုင်လမ်း, သခင်မြပန်းခြံ"
42,0,"ရွှေပြည်သာ(လိန်ကုန်း), လှော်ကားလမ်း, မဟာဗန္ဓုလလမ်း, ဘုရင့်နောင်လမ်း, ထန်းခြောက်ပင်, ရွှေပြည်သာကွေ့, ဒညင်းကုန်းလမ်းဆုံ, ခရေပင်လမ်းခွဲ, အမှတ်(၃)လမ်းဆုံ, သုဓမ္မာလမ်း, ဘုန်းကြီးလမ်း, သံသုမာလမ်း, ကမာကြည်လမ်း, သာကေတအဝိုင်း, သံလျင်တံတားချဉ်းကပ်လမ်း, ရှုခင်းသာမြို့ပါတ်လမ်း, ရတနာလမ်း(သင်္ဃန်းကျွန်း)"
43,3,"လိန်ကုန်း, လှော်ကားလမ်း, တာဆုံ, အမှတ်(၄)လမ်း, ပြည်လမ်း, မှော်ဘီဈေးရှေ့"
44,3,"လိန်ကုန်း, လှော်ကားလမ်း, တာဆုံ, အမှတ်(၄)လမ်း, ဒညင်းကုန်း, ခရေပင်လမ်းခွဲ, ထောက်ကြန့်, ရန်ကုန်ပဲခူးလမ်း, လှည်းကူးဈေးရှေ့"
45,3,"လှည်းကူးဈေးရှေ့, ဖောင်ကြီးလမ်း, ဖောင်ကြီး, မင်းကုန်း"
46,3,"ဒါးပိန်, အမှတ်(၂)လမ်း, ရွာသာကြီး(စီးပွားရေးတက္ကသိုလ်), တောင်မြောက်လမ်းဆုံ"
47,3,"လှိုင်သာယာ ဘီအိုစီ, တွံတေးကြိုးတံတား, တွံတေးမြို့, ဘုရားငုတ်တို, ကံဘဲ့, တွံတေး"
48,3,"ဒလ, ဘုရားငုတ်တို, တွံတေး"
49,3,"လှိုင်သာယာ ဘီအိုစီ, တွံတေးကြိုးတံတား, ဘုရားငုတ်တို, ကံဘဲ့, ကော့မှူး, ကွမ်းခြံကုန်း"
50,3,"ဒလ, ဘုရားငုတ်တို, ကံဘဲ့, ကော့မှူး, ကွမ်းခြံကုန်း"
51,3,"ပဲခူး, သနပ်ပင်, ခရမ်း"
52,3,"ထန်းတစ်ပင်, ရန်ကုန်ပုသိမ်လမ်း, ရန်ကုန်ညောင်တုန်းလမ်း, မီးခွက်ဈေး"
53,3,"ရွှေလင်ဗန်းလမ်းဆုံ, ကျန်စစ်သားလမ်း, ညောင်တုန်းလမ်း, ဗိုလ်အောင်ကျော်လမ်း, ရွှေလင်ဗန်းလမ်းဆုံ"
54,3,"၈၆ဂိတ်, အနော်ရထာလမ်း, ရွှေရင်အေးလမ်း, ဗိုလ်အောင်ကျော်လမ်း, အောက်ထိပ်, ပုသိမ်လမ်း, ကျန်စစ်သားလမ်း, ညောင်တုန်းလမ်း, ဗိုလ်အောင်ကျော်လမ်း, ရွှေရင်အေးလမ်း, ၈၆ဂိတ်"
55,3,"တိုက်ကြီး, ဥက္ကံ, မြောင်းတကာ, မှောဘီနည်းပညာတက္ကသိုလ်, မှော်ဘီ, ထောက်ကြန့်"
56,4,"သခင်မြပန်းခြံ, ဗိုလ်ချုပ်အောင်ဆန်းလမ်း, ဗိုလ်တစ်ထောင်ဘုရားလမ်း, ကုန်သည်လမ်း, ကမ်းနားလမ်း, သခင်မြပန်းခြံ"
57,4,"သခင်မြပန်းခြံ, ကမ်းနားလမ်း, မဟာဗန္ဓုလလမ်း, ဗိုလ်တစ်ထောင်, ဘုရားလမ်း, ကမ်းနားလမ်း, သခင်မြပန်းခြံ"
58,4,"ဗိုလ်တစ်ထောင်ဘုရား(ကမ်းနားလမ်း), ဗိုလ်တစ်ထောင်ဘုရားလမ်း, အနော်ရထာလမ်း, ကမ်းနားလမ်း, ဗိုလ်တစ်ထောင်ဘုရား"
59,1,"သင်္ဃန်းကျွန်းစံပြဈေး, သံသုမာ, ကြက်ဘဲစျေး, အာသောကလမ်း, တာမွေအဝိုင်း, သမိန်ဗရမ်းလမ်း, ရွှေဂုံတိုင်လမ်း, ရွှေဂုံတိုင်ဂုံးကျော်တံတား, ရွှေဂုံလမ်း, ဓမ္မစေတီလမ်း, ဗားကရာလမ်း, အောက်ကြည့်မြင့်တိုင်လမ်း, သခင်မြပန်းခြံလမ်း, ကြည့်မြင့်တိုင်ကမ်းနားလမ်း, နှင်းဆီကုန်းလမ်း"
60,3,"တောင်ဒဂုံ, သာကေတဧရာဝဏ်, ပြည်ထောင်စုလမ်းဆုံ, ပြည်ထောင်စုလမ်းမကြီး, တောင်မြောက်လမ်းဆုံ, အမှတ်(၂)လမ်း, သင်္ဃန်းကျွန်းစံပြစျေး, သံသုမာလမ်း, ရတနာလမ်း(သင်္ဃန်းကျွန်း), အောင်ဇေယျလမ်း, ကျောက်ကုန်း"
