"ယုဇနဥယျာဉ်","5"
"ယုဇနဥယျာဉ်မြို့တော်","3,4"
"ရတနာပုံလမ်း","7"
"ရတနာလမ်း(ဒဂုံဆိပ်ကမ်း)","4,5"
"ရတနာလမ်း(သင်္ဃန်းကျွန်း)","1,14,26,27,42,60"
"ရန်ကင်းစင်တာ","14"
"ရန်ကင်းလမ်း","12,14,29,38"
"ရန်ကုန်ညောင်တုန်းလမ်း","52"
"ရန်ကုန်ပုသိမ်လမ်း","52"
"ရန်ကုန်ပဲခူးလမ်း","44"
"ရန်ကုန်ဘူတာကြီး","12,28,29,36"
"ရန်ရှင်းလမ်း","14,38"
"ရာဇဓိရာဇ်လမ်း","24,26"
"ရာဇာသင်္ကြန်လမ်း","15"
"ရိုးကြီး/ရိုးလေး","22"
"ရိုးမရိပ်သာ","5"
"ရေကြောင်းတက္ကသိုလ်","32"
"ရဲမွန်","1"
"ရွာမကျောင်းလမ်း","11,22"
"ရွာသာကြီး(စီးပွားရေးတက္ကသိုလ်)","1,46"
"ရွေဗဟို","9"
"ရွှေဂုံတိုင်","12,20,29"
"ရွှေဂုံတိုင်ဂုံးကျော်တံတား","59"
"ရွှေဂုံတိုင်လမ်း","12,59"
"ရွှေဂုံလမ်း","59"
"ရွှေတိဂုံဘုရားလမ်း","8,11"
"ရွှေပေါက်ကံ","17,19"
"ရွှေပေါက်ကံ(တောင်ငူလမ်း)","16"
"ရွှေပြည်သာ(လိန်ကုန်း)","39,40,42"
"ရွှေပြည်သာကွေ့","42"
"ရွှေပြည်သာတံတား","17,21"
"ရွှေဗဟိုရ်","25"
"ရွှေရင်အေးလမ်း","54,54"
"ရွှေလင်ဗန်းလမ်းဆုံ","53"
"ရွှေလင်ဗန်းလမ်းဆုံ","53"
"ရွှေလီလမ်း","5"
"ရှုခင်းသာမြို့ပါတ်လမ်း","10,31,42"
"လင့်လမ်း","11,20"
"လမ်းသစ်လမ်း","41"
"လိန်ကုန်း","43,44"
"လေးထောင့်ကန်လမ်း","3,18,24,32"
"လှည်တန်းလမ်း","41"
"လှည်းကူးဈေးရှေ့","1,45"
"လှည်းကူးဈေးရှေ့","44"
"လှည်းတန်း","21,35,37,39"
"လှည်းတန်းခိုင်ရွှေဝါ","11,22"
"လှည်းတန်းလမ်း","14,30,38"
"လှိုင်သာယာ ဘီအိုစီ","47,49"
"လှော်ကားလမ်း","2,6,7,42,43,44"
"ဝေဇယန္တာလမ်း","18,32"
"သခင်မြပန်းခြံ","14,19,22,23,30,40,41,56,57"
"သခင်မြပန်းခြံ","56,57"
"သခင်မြပန်းခြံလမ်း","59"
"သင်္ဃန်းကျွန်း","1"
"သင်္ဃန်းကျွန်းစံပြစျေး","60"
"သင်္ဃန်းကျွန်းစံပြဈေး","59"
"သစ္စာလမ်း","12,29,38"
"သနပ်ပင်","1,51"
"သန်လျင်(မြို့မဈေး)","32"
"သန်လျင်(အရှေ့ပိုင်းတက္ကသိုလ်)","31"
"သန်လျင်ကျောက်တန်း လမ်း","34"
"သန်လျင်ကျောက်တန်းလမ်း","31"
"သန်လျင်အမှတ်(၁)တံတား","31,32,33,34"
"သမကုန်း","16,22"
"သမကုန်းအဝိုင်း","17,20,23"
"သမိန်ဗရမ်းလမ်း","9,18,25,26,59"
"သမိုင်းလမ်းဆုံ","15,15,19,21,39"
"သာကေတ(အဝိုင်း)","5,8,34"
"သာကေတတံတား","8,9"
"သာကေတအဝိုင်း","4,32,33,42"
"သာကေတဧရာဝဏ်","60"
"သိမ်ဖြူ","7,20,20"
"သိမ်ဖြူလမ်း","34"
"သီရိမင်္ဂလာဈေးသစ်","19,20,23,38,40"
"သုဓမ္မာလမ်း","2,8,10,15,18,19,36,42"
"သုမင်္ဂလာ","1"
"သုမင်္ဂလာလမ်း","10,32"
"သုဝဏ္ဏတံတား","9,10,24,32"
"သုံးခွ","34"
"သံလျင်တံတားချဉ်းကပ်လမ်း","4,42"
"သံသုမာ","59"
"သံသုမာလမ်း","6,9,14,18,18,24,25,26,27,29,32,38,42,60"
"သွေးဆေးကန်လမ်း","11"
"ဟံသာဝတီ","22"
"ဟံသာဝတီလမ်း","11"
"အင်းစိန်ပန်းခြံ","11,15,21,22,41"
"အင်းတိုင်","1"
"အင်းဝ အိမ်ရာ","8"
"အထက်ကြည့်မြင့်တိုင်လမ်း","22,41"
"အထက်ကြည့်မြင့်တိုင်လမ်း","11"
"အထက်ပုဇွန်တောင်လမ်း","24,26"
"အနောက်ကြို့ကုန်း","22"
"အနောက်ပိုင်းဆေးရုံ","22"
"အနောက်ပိုင်းတက္ကသိုလ်(ထန်းတပင်)","21,22"
"အနောက်ပိုင်းနည်းပညာတက္ကသိုလ်","17,23"
"အနောက်ရွှေဂုံတိုင်လမ်း","11"
"အနော်ရထာလမ်း","4,5,7,31,54,58"
"အမှတ်(၂)လမ်း","2,46,60"
"အမှတ်(၃)လမ်း","36"
"အမှတ်(၃)လမ်းဆုံ","18,32,35,36,42"
"အမှတ်(၃)လမ်းပုလဲမြို့သစ်","35"
"အမှတ်(၄)လမ်း","39,43,44"
"အရှေ့ပိုင်းတက္ကသိုလ်","34"
"အရှေ့မြင်းပြိုင်ကွင်းလမ်း","3,18,26,27"
"အလုံလျှပ်စစ်ရုံး","22"
"အသင်းတိုက်","10,18,24"
"အာသောကလမ်း","59"
"အောက်ကြည့်မြင့်တိုင်လမ်း","41,59"
"အောက်ထိပ်","54"
"အောက်မင်္ဂလာဒုံလမ်း","21"
"အောင်ဇေယျတံတား","22"
"အောင်ဇေယျလမ်း","26,60"
"အောင်မင်္ဂလာအဝေးပြေး","17,18"
"အောင်မင်္ဂလာအဝေးပြေးကွင်း","2"
"အောင်မြင့်မိုရ်","6"
"ဥက္ကံ","55"
"ဦးချစ်မောင်လမ်း","14"
"ဦးထောင်ဘိုလမ်း","8,11"
"ဦးဝိစာရလမ်း","11,27"
"ဧရာဝဏ်လမ်း","3,4,8,9,32"
"၁၀မိုင်ကုန်း","6,37"
"၁၃၃ရပ်ကွက်","27"
"၁၄လမ်းဆုံ","21,40"
"၃ထောင်ကွေ့","41"
"၄၆လမ်းဆုံ","12"
"၅ကွေ့","10"
"၆ကွေ့","2,16,17,18,19"
"၇ဈေးလမ်း","8"
"၈မိုင်လမ်းဆုံ","6,6,15,16,19,30,35,37"
"၈၆ဂိတ်","54"
"၈၆ဂိတ်","54"
"၈၉လမ်းဆုံ","5"
"၉မိုင်","6"
